year,q01_happy,q02_satisfied_general,q03_satisfied_somerville,q04_satisfied_neighborhood,q06a_city_services,q06b_cost_housing,q06c_quality_schools,q06d_trust_police,q06e_sidewalks,q06f_events,q09_safe_at_night,q11_beauty,q10_parks,d01_gender,d02_age,d04_race,d05_num_children,d06_housing_status,d07_plan_to_move,d10_how_long_lived_here,d08_hhi,d09_is_student,ward,q05_city_direction,q07_safe_crossing_street,q08_convenient,q12_housing_condition,move_why,d03_english,d03_spanish,d03_portuguese,d03_chinese,d03_other,d04_ethnicity,d04_race_white,d04_race_aa,d04_race_asian,d04_race_other,race_hooks,d08_hhi_buckets,d11_car,d11_walk,d11_bike,d11_public,d12_car,d12_walk,d12_bike,d12_public
2019,8.0,9.0,9.0,9.0,3.0,4.0,4.0,4.0,5.0,5.0,9.0,9.0,10.0,Female,25 to 34 Years,white,0.0,Rent,1.0,2.0,,0.0,6.0,right,9.0,9.0,9.0,Easier commute to work,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,white,,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
2019,8.0,9.0,8.0,8.0,4.0,1.0,2.0,3.0,1.0,2.0,9.0,4.0,4.0,Female,75 Years & Over,,0.0,Own,0.0,23.0,"$100,000 to $149,999",0.0,2.0,unsure,2.0,1.0,8.0,,,,,,,,,,,,No Answer,6,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
2019,2.0,5.0,4.0,8.0,4.0,1.0,4.0,3.0,4.0,3.0,5.0,7.0,5.0,Male,75 Years & Over,white,0.0,Own,0.0,40.0,"$100,000 to $149,999",0.0,6.0,unsure,3.0,4.0,5.0,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,white,6,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
2019,7.0,10.0,5.0,10.0,4.0,1.0,4.0,1.0,4.0,2.0,10.0,7.0,10.0,Female,35 to 44 Years,white,0.0,Rent,,10.0,"$25,000 to $49,999",0.0,2.0,wrong,10.0,10.0,6.0,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,white,3,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
2019,9.0,9.0,9.0,9.0,4.0,3.0,3.0,3.0,2.0,4.0,9.0,8.0,9.0,Female,25 to 34 Years,white,0.0,Own,0.0,3.0,"$200,000 or more",0.0,7.0,right,9.0,7.0,9.0,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,white,8,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
2019,8.0,8.0,8.0,8.0,3.0,2.0,3.0,4.0,3.0,3.0,8.0,6.0,6.0,Female,25 to 34 Years,white,0.0,Rent,0.0,6.0,"$75,000 to $99,999",0.0,2.0,right,10.0,9.0,7.0,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,white,5,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
2019,6.0,10.0,10.0,10.0,5.0,3.0,,5.0,3.0,5.0,10.0,10.0,10.0,Female,55 to 64 Years,white,0.0,Own,1.0,35.0,"$75,000 to $99,999",,2.0,right,10.0,6.0,8.0,To get closer to family,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,white,5,,,,,1.0,0.0,0.0,0.0
2019,8.0,8.0,7.0,6.0,4.0,1.0,2.0,3.0,2.0,4.0,8.0,8.0,8.0,Male,25 to 34 Years,asian indian,0.0,Rent,0.0,4.0,"$200,000 or more",0.0,5.0,unsure,8.0,8.0,7.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,asian,8,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
2019,7.0,6.0,9.0,9.0,5.0,1.0,3.0,5.0,4.0,5.0,10.0,10.0,10.0,Female,25 to 34 Years,white,0.0,Rent,0.0,2.0,"$75,000 to $99,999",0.0,4.0,right,10.0,7.0,7.0,,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,white,5,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
2019,7.0,8.0,8.0,8.0,5.0,3.0,4.0,3.0,3.0,5.0,8.0,8.0,10.0,Female,25 to 34 Years,white,1.0,Own,0.0,2.0,"$150,000 to 200,000",0.0,1.0,right,2.0,2.0,5.0,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,white,7,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
