year,q01_happy,q02_satisfied_general,q03_satisfied_somerville,q04_satisfied_neighborhood,q06a_city_services,q06b_cost_housing,q06c_quality_schools,q06d_trust_police,q06e_sidewalks,q06f_events,q09_safe_at_night,q11_beauty,q10_parks,d01_gender,d02_age,d04_race,d05_num_children,d06_housing_status,d07_plan_to_move,d10_how_long_lived_here,d08_hhi,d09_is_student,ward,q05_city_direction,q07_safe_crossing_street,q08_convenient,q12_housing_condition,move_why,d03_english,d03_spanish,d03_portuguese,d03_chinese,d03_other,d04_ethnicity,d04_race_white,d04_race_aa,d04_race_asian,d04_race_other,race_hooks,d08_hhi_buckets,d11_car,d11_walk,d11_bike,d11_public,d12_car,d12_walk,d12_bike,d12_public
2019,8.0,8.0,8.0,9.0,5.0,1.0,4.0,4.0,4.0,5.0,10.0,9.0,9.0,Male,55 to 64 Years,white,1.0,Own,0.0,23.0,"$150,000 to 200,000",0.0,6.0,unsure,8.0,10.0,8.0,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,white,7,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
2019,10.0,10.0,1.0,5.0,1.0,1.0,3.0,5.0,3.0,1.0,10.0,10.0,9.0,No Answer,75 Years & Over,,1.0,Other,1.0,38.0,"$100,000 to $149,999",0.0,6.0,wrong,2.0,1.0,1.0,Way too expensive,,,,,,,,,,,No Answer,6,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
2019,7.0,9.0,8.0,8.0,4.0,1.0,4.0,4.0,4.0,5.0,9.0,10.0,10.0,Female,65 to 74 Years,white,0.0,Own,0.0,45.0,"$50,000 to 74,999",0.0,3.0,right,7.0,9.0,9.0,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,white,4,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
2019,10.0,8.0,9.0,8.0,5.0,3.0,4.0,4.0,3.0,4.0,8.0,7.0,9.0,Female,25 to 34 Years,white,0.0,Rent,0.0,8.0,"$50,000 to 74,999",0.0,4.0,right,8.0,7.0,8.0,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,white,4,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
2019,10.0,10.0,10.0,6.0,5.0,3.0,5.0,5.0,2.0,5.0,10.0,8.0,10.0,Male,65 to 74 Years,white,0.0,Own,0.0,67.0,"$100,000 to $149,999",0.0,1.0,right,7.0,10.0,10.0,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,white,6,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
2019,7.0,7.0,8.0,7.0,5.0,2.0,,4.0,3.0,4.0,10.0,7.0,8.0,Female,18 to 24 Years,white,0.0,Rent,1.0,2.0,"$150,000 to 200,000",0.0,7.0,right,7.0,8.0,5.0,Too expensive to live,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,white,7,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
2019,8.0,7.0,8.0,8.0,4.0,1.0,4.0,2.0,4.0,5.0,9.0,8.0,9.0,Male,55 to 64 Years,"white, jewish",0.0,Own,0.0,,"$150,000 to 200,000",0.0,7.0,right,9.0,9.0,8.0,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,two_or_more,7,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
2019,9.0,8.0,9.0,9.0,3.0,2.0,,4.0,3.0,3.0,8.0,8.0,8.0,Male,35 to 44 Years,white,0.0,Rent,0.0,1.0,"$10,000 to $24,999",0.0,7.0,right,8.0,8.0,9.0,,,,,,,0.0,1.0,0.0,0.0,0.0,white,2,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
2019,6.0,7.0,7.0,6.0,3.0,2.0,3.0,4.0,4.0,3.0,7.0,6.0,8.0,Male,25 to 34 Years,white,0.0,Rent,1.0,3.0,"$100,000 to $149,999",0.0,5.0,right,5.0,5.0,5.0,Closer to nature/things to do,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,white,6,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
2019,9.0,9.0,9.0,9.0,5.0,2.0,4.0,4.0,3.0,5.0,8.0,6.0,6.0,Male,65 to 74 Years,white,0.0,Own,1.0,33.0,,0.0,3.0,right,6.0,4.0,9.0,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,white,,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
2019,9.0,10.0,9.0,8.0,5.0,3.0,5.0,5.0,4.0,5.0,5.0,8.0,8.0,Female,45 to 54 Years,white,0.0,Own,0.0,10.0,"$200,000 or more",0.0,2.0,right,9.0,5.0,9.0,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,white,8,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
2019,10.0,10.0,6.0,8.0,4.0,2.0,1.0,5.0,4.0,4.0,7.0,4.0,7.0,Male,18 to 24 Years,white,0.0,Rent,0.0,2.0,"$75,000 to $99,999",1.0,2.0,wrong,7.0,7.0,7.0,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,white,5,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
2019,8.0,8.0,9.0,9.0,5.0,3.0,4.0,3.0,3.0,4.0,8.0,8.0,7.0,Female,25 to 34 Years,white,0.0,Rent,1.0,5.0,"$75,000 to $99,999",0.0,6.0,right,6.0,9.0,9.0,"Will need to buy, can't afford",1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,white,5,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
2019,10.0,,9.0,10.0,5.0,1.0,5.0,5.0,1.0,5.0,1.0,10.0,10.0,Female,75 Years & Over,black/african american,0.0,Rent,0.0,46.0,"$10,000 to $24,999",0.0,5.0,unsure,1.0,1.0,1.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,aa,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2019,4.0,6.0,7.0,7.0,4.0,1.0,,,2.0,4.0,3.0,6.0,7.0,Female,65 to 74 Years,white,0.0,Rent,0.0,,"$10,000 to $24,999",0.0,3.0,unsure,1.0,1.0,4.0,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,white,2,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
2019,7.0,8.0,10.0,9.0,4.0,4.0,,4.0,4.0,,8.0,8.0,9.0,Male,25 to 34 Years,white,0.0,Own,0.0,3.0,"$200,000 or more",0.0,1.0,right,10.0,8.0,10.0,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,white,8,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
2019,9.0,9.0,9.0,10.0,5.0,2.0,,5.0,5.0,5.0,10.0,10.0,10.0,Female,55 to 64 Years,white,0.0,Own,0.0,2.0,"$150,000 to 200,000",0.0,4.0,right,9.0,9.0,8.0,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,white,7,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
2019,7.0,8.0,7.0,6.0,3.0,1.0,,3.0,1.0,5.0,9.0,8.0,9.0,Female,25 to 34 Years,white,0.0,Rent,1.0,10.0,"$100,000 to $149,999",0.0,6.0,wrong,1.0,7.0,5.0,Unaffordable Housing,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,white,6,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
2019,7.0,8.0,4.0,5.0,4.0,1.0,1.0,5.0,,5.0,9.0,7.0,9.0,Female,35 to 44 Years,,1.0,Rent,1.0,5.0,"$75,000 to $99,999",0.0,5.0,wrong,6.0,8.0,6.0,Affordability & schools,1.0,0.0,0.0,0.0,0.0,,,,,,No Answer,5,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
2019,5.0,6.0,4.0,4.0,3.0,1.0,3.0,3.0,2.0,3.0,3.0,4.0,5.0,Female,55 to 64 Years,white,0.0,Own,,58.0,"$100,000 to $149,999",0.0,5.0,wrong,5.0,4.0,6.0,"Not sure, am looking",1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,white,6,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
