id,year,q01_happy,q02_satisfied_general,q03_satisfied_somerville,q04_satisfied_neighborhood,q06a_city_services,q06b_cost_housing,q06c_quality_schools,q06d_trust_police,q06e_sidewalks,q06f_events,q09_safe_at_night,q11_beauty,q10_parks,d01_gender,d02_age,d04_race,d05_num_children,d06_housing_status,d07_plan_to_move,d10_how_long_lived_here,d08_hhi,d09_is_student,d13_ward,q05_city_direction,q07_safe_crossing_street,q08_convenient,q12_housing_condition,move_why,d11_transportation_mode,d12_transportation_month,d03_language
7413,2019,7.0,6.0,9.0,9.0,5.0,1.0,3.0,5.0,4.0,5.0,10.0,10.0,10.0,Female,27,White,No,Rent,No,2 years,"$75,000 to $99,999",No,4.0,Right direction,10.0,7.0,7.0,,"Bike, Public transit","Walk, Bike, Public transit","English, Spanish"
7414,2019,7.0,8.0,8.0,8.0,5.0,3.0,4.0,3.0,3.0,5.0,8.0,8.0,10.0,Female,34,White,Yes,Own,No,2 years,"$150,000 to 200,000",No,1.0,Right direction,2.0,2.0,5.0,,"Walk, Bike, Public transit","Walk, Bike, Public transit",English
7415,2019,8.0,8.0,8.0,9.0,5.0,1.0,4.0,4.0,4.0,5.0,10.0,9.0,9.0,Male,55,White,Yes,Own,No,23 years,"$150,000 to 200,000",No,6.0,Not sure,8.0,10.0,8.0,,Bike,"Walk, Bike, Public transit, Car",English
7416,2019,10.0,10.0,1.0,5.0,1.0,1.0,3.0,5.0,3.0,1.0,10.0,10.0,9.0,,,,Yes,,Yes,38 years,"$100,000 to $149,999",No,6.0,Wrong track,2.0,1.0,1.0,Way too expensive,"Walk, Car","Walk, Car",
7417,2019,7.0,9.0,8.0,8.0,4.0,1.0,4.0,4.0,4.0,5.0,9.0,10.0,10.0,Female,67,White,No,Own,No,45 years,"$50,000 to 74,999",No,3.0,Right direction,7.0,9.0,9.0,,Walk,"Walk, Bike, Public transit, Car",English
7418,2019,10.0,8.0,9.0,8.0,5.0,3.0,4.0,4.0,3.0,4.0,8.0,7.0,9.0,Female,30,White,No,Rent,No,8 years,"$50,000 to 74,999",No,4.0,Right direction,8.0,7.0,8.0,,Bike,"Walk, Bike, Public transit, Car",English
7419,2019,10.0,10.0,10.0,6.0,5.0,3.0,5.0,5.0,2.0,5.0,10.0,8.0,10.0,Male,67,White,No,Own,No,67 years,"$100,000 to $149,999",No,1.0,Right direction,7.0,10.0,10.0,,Car,"Walk, Car",English
7420,2019,7.0,7.0,8.0,7.0,5.0,2.0,,4.0,3.0,4.0,10.0,7.0,8.0,Female,24,White,No,Rent,Yes,2 years,"$150,000 to 200,000",No,7.0,Right direction,7.0,8.0,5.0,Too expensive to live,Car,"Walk, Bike, Public transit, Car",English
7421,2019,8.0,7.0,8.0,8.0,4.0,1.0,4.0,2.0,4.0,5.0,9.0,8.0,9.0,Male,61,"White, Jewish",No,Own,No,,"$150,000 to 200,000",No,7.0,Right direction,9.0,9.0,8.0,,Car,"Walk, Public transit, Car",English
7422,2019,9.0,8.0,9.0,9.0,3.0,2.0,,4.0,3.0,3.0,8.0,8.0,8.0,Male,38,White,No,Rent,No,1 year,"$10,000 to $24,999",No,7.0,Right direction,8.0,8.0,9.0,,"Walk, Public transit","Walk, Public transit",
7423,2019,6.0,7.0,7.0,6.0,3.0,2.0,3.0,4.0,4.0,3.0,7.0,6.0,8.0,Male,31,White,No,Rent,Yes,3 years,"$100,000 to $149,999",No,5.0,Right direction,5.0,5.0,5.0,Closer to nature/things to do,"Bike, Public transit","Walk, Bike, Public transit, Car",English
7424,2019,9.0,9.0,9.0,9.0,5.0,2.0,4.0,4.0,3.0,5.0,8.0,6.0,6.0,Male,70,White,No,Own,Yes,33 years,,No,3.0,Right direction,6.0,4.0,9.0,,Car,"Walk, Public transit, Car",English
7425,2019,9.0,10.0,9.0,8.0,5.0,3.0,5.0,5.0,4.0,5.0,5.0,8.0,8.0,Female,50,White,No,Own,No,10 years,"$200,000 or more",No,2.0,Right direction,9.0,5.0,9.0,,Car,"Walk, Bike, Public transit, Car",English
7426,2019,10.0,10.0,6.0,8.0,4.0,2.0,1.0,5.0,4.0,4.0,7.0,4.0,7.0,Male,24,White,No,Rent,No,2 years,"$75,000 to $99,999",Yes,2.0,Wrong track,7.0,7.0,7.0,,Car,"Walk, Public transit, Car",English
7427,2019,8.0,8.0,9.0,9.0,5.0,3.0,4.0,3.0,3.0,4.0,8.0,8.0,7.0,Female,30,White,No,Rent,Yes,5 years,"$75,000 to $99,999",No,6.0,Right direction,6.0,9.0,9.0,"Will need to buy, can't afford","Walk, Public transit","Walk, Public transit, Car",English
7428,2019,10.0,,9.0,10.0,5.0,1.0,5.0,5.0,1.0,5.0,1.0,10.0,10.0,Female,85,Black/African American,No,Rent,No,46 years,"$10,000 to $24,999",No,5.0,Not sure,1.0,1.0,1.0,,Public transit,Public transit,English
7429,2019,4.0,6.0,7.0,7.0,4.0,1.0,,,2.0,4.0,3.0,6.0,7.0,Female,68,White,No,Rent,No,,"$10,000 to $24,999",No,3.0,Not sure,1.0,1.0,4.0,,Public transit,"Walk, Public transit",English
