ID Place of Birth,Place of Birth,ID Age,Age,ID Year,Year,Birthplace,Birthplace Moe,Geography,ID Geography,Slug Geography,nativity,share
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",24,"62 to 64 Years",6054,"2018",1322,360,"Somerville, MA","16000US2562535","somerville-ma","Native Born",0.016435835591913868
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",27,"65 to 74 Years",6054,"2018",3021,547,"Somerville, MA","16000US2562535","somerville-ma","Native Born",0.03755874381480469
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",30,"75 Years & Over",6054,"2018",2017,411,"Somerville, MA","16000US2562535","somerville-ma","Native Born",0.025076460203396572
3,"Foreign Born",0,"Under 5 Years",2018,"2018",13,18,"Somerville, MA","16000US2562535","somerville-ma","Foreign Born",0.00016162319417161898
3,"Foreign Born",1,"5 to 17 Years",2018,"2018",869,362,"Somerville, MA","16000US2562535","somerville-ma","Foreign Born",0.010803888902702837
3,"Foreign Born",2,"18 to 24 Years",2018,"2018",1683,391,"Somerville, MA","16000US2562535","somerville-ma","Foreign Born",0.020923987368525746
3,"Foreign Born",3,"25 to 34 Years",2018,"2018",5541,719,"Somerville, MA","16000US2562535","somerville-ma","Foreign Born",0.06888877837730313
3,"Foreign Born",4,"35 to 44 Years",2018,"2018",4104,496.99999999999994,"Somerville, MA","16000US2562535","somerville-ma","Foreign Born",0.051023199144640326
3,"Foreign Born",5,"45 to 54 Years",2018,"2018",2558,446.99999999999994,"Somerville, MA","16000US2562535","somerville-ma","Foreign Born",0.031802471591615485
3,"Foreign Born",6,"55 to 59 Years",2018,"2018",1132,271,"Somerville, MA","16000US2562535","somerville-ma","Foreign Born",0.014073650446328667
3,"Foreign Born",7,"60 & 61 Years",2018,"2018",526,211,"Somerville, MA","16000US2562535","somerville-ma","Foreign Born",0.00653952308725166
3,"Foreign Born",8,"62 to 64 Years",2018,"2018",560,174,"Somerville, MA","16000US2562535","somerville-ma","Foreign Born",0.006962229902777432
3,"Foreign Born",9,"65 to 74 Years",2018,"2018",1211,258,"Somerville, MA","16000US2562535","somerville-ma","Foreign Born",0.015055822164756198
3,"Foreign Born",10,"75 Years & Over",2018,"2018",1097,314,"Somerville, MA","16000US2562535","somerville-ma","Foreign Born",0.013638511077405078
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",0,"Under 5 Years",6051,"2017",3283,573,"Somerville, MA","16000US2562535","somerville-ma","Native Born",0.041046222322243475
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",3,"5 to 17 Years",6051,"2017",4922,847,"Somerville, MA","16000US2562535","somerville-ma","Native Born",0.06153807684132878
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",6,"18 to 24 Years",6051,"2017",9575,1184,"Somerville, MA","16000US2562535","somerville-ma","Native Born",0.1197129389995374
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",9,"25 to 34 Years",6051,"2017",20843,1603,"Somerville, MA","16000US2562535","somerville-ma","Native Born",0.26059287598614705
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",12,"35 to 44 Years",6051,"2017",7267,1145,"Somerville, MA","16000US2562535","somerville-ma","Native Born",0.09085680707150269
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",15,"45 to 54 Years",6051,"2017",4807,749,"Somerville, MA","16000US2562535","somerville-ma","Native Born",0.06010027130765288
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",18,"55 to 59 Years",6051,"2017",2212,451,"Somerville, MA","16000US2562535","somerville-ma","Native Born",0.02765587687383569
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",21,"60 & 61 Years",6051,"2017",856,297,"Somerville, MA","16000US2562535","somerville-ma","Native Born",0.010702274233274571
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",24,"62 to 64 Years",6051,"2017",1333,369,"Somerville, MA","16000US2562535","somerville-ma","Native Born",0.016666041533825938
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",27,"65 to 74 Years",6051,"2017",3082,589,"Somerville, MA","16000US2562535","somerville-ma","Native Born",0.03853318830251429
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",30,"75 Years & Over",6051,"2017",2248,455,"Somerville, MA","16000US2562535","somerville-ma","Native Born",0.028105972519160322
3,"Foreign Born",0,"Under 5 Years",2017,"2017",8,12,"Somerville, MA","16000US2562535","somerville-ma","Foreign Born",0.00010002125451658478
3,"Foreign Born",1,"5 to 17 Years",2017,"2017",968,388,"Somerville, MA","16000US2562535","somerville-ma","Foreign Born",0.012102571796506758
3,"Foreign Born",2,"18 to 24 Years",2017,"2017",1523,355,"Somerville, MA","16000US2562535","somerville-ma","Foreign Born",0.019041546328594828
3,"Foreign Born",3,"25 to 34 Years",2017,"2017",5764,721,"Somerville, MA","16000US2562535","somerville-ma","Foreign Born",0.07206531387919933
3,"Foreign Born",4,"35 to 44 Years",2017,"2017",4052,468.00000000000006,"Somerville, MA","16000US2562535","somerville-ma","Foreign Born",0.05066076541265019
3,"Foreign Born",5,"45 to 54 Years",2017,"2017",2647,445,"Somerville, MA","16000US2562535","somerville-ma","Foreign Born",0.033094532588174984
3,"Foreign Born",6,"55 to 59 Years",2017,"2017",1211,258,"Somerville, MA","16000US2562535","somerville-ma","Foreign Born",0.01514071740244802
3,"Foreign Born",7,"60 & 61 Years",2017,"2017",525,178,"Somerville, MA","16000US2562535","somerville-ma","Foreign Born",0.006563894827650876
3,"Foreign Born",8,"62 to 64 Years",2017,"2017",579,194,"Somerville, MA","16000US2562535","somerville-ma","Foreign Born",0.007239038295637823
3,"Foreign Born",9,"65 to 74 Years",2017,"2017",1376,290,"Somerville, MA","16000US2562535","somerville-ma","Foreign Born",0.01720365577685258
3,"Foreign Born",10,"75 Years & Over",2017,"2017",902,207,"Somerville, MA","16000US2562535","somerville-ma","Foreign Born",0.011277396446744933
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",0,"Under 5 Years",6048,"2016",3468,558,"Somerville, MA","16000US2562535","somerville-ma","Native Born",0.04361880086030161
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",3,"5 to 17 Years",6048,"2016",5175,747,"Somerville, MA","16000US2562535","somerville-ma","Native Born",0.06508860855019055
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",6,"18 to 24 Years",6048,"2016",9429,1160,"Somerville, MA","16000US2562535","somerville-ma","Native Born",0.11859333140478197
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",9,"25 to 34 Years",6048,"2016",19783,1750,"Somerville, MA","16000US2562535","somerville-ma","Native Born",0.24882085854075742
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",12,"35 to 44 Years",6048,"2016",7675,1047,"Somerville, MA","16000US2562535","somerville-ma","Native Born",0.09653238079665942
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",15,"45 to 54 Years",6048,"2016",4776,833,"Somerville, MA","16000US2562535","somerville-ma","Native Born",0.060070182499654116
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",18,"55 to 59 Years",6048,"2016",2039,428,"Somerville, MA","16000US2562535","somerville-ma","Native Born",0.025645540644220005
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",21,"60 & 61 Years",6048,"2016",846,299,"Somerville, MA","16000US2562535","somerville-ma","Native Born",0.010640572528205064
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",24,"62 to 64 Years",6048,"2016",1193,347,"Somerville, MA","16000US2562535","somerville-ma","Native Born",0.015004968116014943
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",27,"65 to 74 Years",6048,"2016",3018,525,"Somerville, MA","16000US2562535","somerville-ma","Native Born",0.03795892185593721
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",30,"75 Years & Over",6048,"2016",2492,493,"Somerville, MA","16000US2562535","somerville-ma","Native Born",0.031343152175280165
3,"Foreign Born",0,"Under 5 Years",2016,"2016",59,75,"Somerville, MA","16000US2562535","somerville-ma","Foreign Born",0.0007420730250166652
3,"Foreign Born",1,"5 to 17 Years",2016,"2016",879,274,"Somerville, MA","16000US2562535","somerville-ma","Foreign Born",0.011055630321858453
3,"Foreign Born",2,"18 to 24 Years",2016,"2016",1507,350,"Somerville, MA","16000US2562535","somerville-ma","Foreign Born",0.018954305910171432
3,"Foreign Born",3,"25 to 34 Years",2016,"2016",5702,711,"Somerville, MA","16000US2562535","somerville-ma","Foreign Born",0.07171695573974618
3,"Foreign Born",4,"35 to 44 Years",2016,"2016",4260,494.99999999999994,"Somerville, MA","16000US2562535","somerville-ma","Foreign Born",0.05358018790798295
3,"Foreign Born",5,"45 to 54 Years",2016,"2016",2684,419,"Somerville, MA","16000US2562535","somerville-ma","Foreign Born",0.03375803388380897
3,"Foreign Born",6,"55 to 59 Years",2016,"2016",1093,259,"Somerville, MA","16000US2562535","somerville-ma","Foreign Born",0.013747217226156188
3,"Foreign Born",7,"60 & 61 Years",2016,"2016",495,213.99999999999997,"Somerville, MA","16000US2562535","somerville-ma","Foreign Born",0.006225866904800835
3,"Foreign Born",8,"62 to 64 Years",2016,"2016",663,172,"Somerville, MA","16000US2562535","somerville-ma","Foreign Born",0.008338888399763543
3,"Foreign Born",9,"65 to 74 Years",2016,"2016",1315,268,"Somerville, MA","16000US2562535","somerville-ma","Foreign Born",0.016539424201642623
3,"Foreign Born",10,"75 Years & Over",2016,"2016",956,249,"Somerville, MA","16000US2562535","somerville-ma","Foreign Born",0.012024098507049694
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",0,"Under 5 Years",6045,"2015",3674,573,"Somerville, MA","16000US2562535","somerville-ma","Native Born",0.04674597620713786
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",3,"5 to 17 Years",6045,"2015",5272,889,"Somerville, MA","16000US2562535","somerville-ma","Native Born",0.06707805840066162
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",6,"18 to 24 Years",6045,"2015",9540,1159,"Somerville, MA","16000US2562535","somerville-ma","Native Born",0.12138176728799542
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",9,"25 to 34 Years",6045,"2015",19379,1598,"Somerville, MA","16000US2562535","somerville-ma","Native Born",0.24656784782746993
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",12,"35 to 44 Years",6045,"2015",7019,1052,"Somerville, MA","16000US2562535","somerville-ma","Native Born",0.08930593549207964
